## ECMWF param code , ECMWF short name , ECMWF long name [units] , short name (following CMIP5 if possible) , CF standard_name , CF cell_methods,
51,SZ,Surface geopotential [m2 s-2],sz,,,
52,SP,Surface pressure [Pa],sp,,,
53,VIMA,Vertical integral of mass of atmosphere [kg m-2],vima,,,
54,VIT,Vertical integral of temperature [K kg m-2],vit,,,
55,VITCWV,Vertical integral of total column water vapour [kg m-2],vitcwv,,,
56,VITCLCW,Vertical integral of total column liquid cloud water [kg m-2],vitclcw,,,
57,VITCFCW,Vertical integral of total column frozen cloud water[kg m-2],vitcfcw,,,
58,VITCO3,Vertical integral of total column ozone [kg m-2],vitco3,,,
59,VIKE,Vertical integral of kinetic energy [J m-2],vike,,,
60,VITE,Vertical integral of thermal energy [J m-2],vite,,,
61,VIDSE,Vertical integral of dry static energy [J m-2],vidse,,,
62,VIMSE,Vertical integral of moist static energy [J m-2},vimse,,,
63,VITOTE,Vertical integral of total energy [J m-2],vitote,,,
64,VIEC,Vertical integral of energy conversion [W m-2],viec,,,
65,VIEMF,Vertical integral of eastward mass flux [kg m-1 s-1],viemf,,,
66,VINMF,Vertical integral of northward mass flux [kg m-1 s-1],vinmf,,,
67,VIEKEF,Vertical integral of eastward kinetic energy flux [W m-2],viekef,,,
68,VINKEF,Vertical integral of northward kinetic energy flux [W m-2],vinkef,,,
69,VIEHF,Vertical integral of eastward heat flux [W m-2],viehf,,,
70,VINHF,Vertical integral of northward heat flux [W m-2],vinhf,,,
71,VIEWVF,Vertical integral of eastward water vapour flux [kg m-1 s-1],viewvf,,,
72,VINWVF,Vertical integral of northward water vapour flux [kg m-1 s-1],vinwvf,,,
73,VIEGF,Vertical integral of eastward geopotential flux [W m-2],viegf,,,
74,VINGF,Vertical integral of northward geopotential flux [W m-2],vingf,,,
75,VIETEF,Vertical integral of eastward total energy flux [W m-2],vietef,,,
76,VINTEF,Vertical integral of northward total energy flux [W m-2],vintef,,,
77,VIEO3F,Vertical integral of eastward ozone flux [kg m-1 s-1],vieo3f,,,
78,VINO3F,Vertical integral of northward ozone flux [kg m-1 s-1],vino3f,,,
81,VIDMF,Vertical integral of divergence of mass flux [kg m-2 s-1],vidmf,,,
82,VIDKEF,Vertical integral of divergence of kinetic energy flux [W m-2],vidkef,,,
83,VIDTEF,Vertical integral of divergence of thermal energy flux [W m-2],vidtef,,,
84,VIDMOF,Vertical integral of divergence of moisture flux [kg m-2 s-1],vidmof,,,
85,VIDGF,Vertical integral of divergence of geopotential flux [W m-2],vidgf,,,
86,VIDTOTEF,Vertical integral of divergence of total energy flux [W m-2],vidtotef,,,
87,VIDO3F,Vertical integral of divergence of ozone flux [kg m-2 s-1],vido3f,,,
100,TSWR,Tendency of shortwave radiation [K],tswr,,,
101,TLWR,Tendency of longwave radiation [K],tlwr,,,
102,TCSSWF,Tendency of clear sky shortwave radiation [K],tcsswf,,,
103,TCSLWR,Tendency of clear sky longwave radiation [K],tcslwr,,,
104,UMF,Updraught mass flux [kg m-2],umf,,,
105,DMF,Downdraught mass flux [kg m-2],dmf,,,
106,UDR,Updraught detrainment rate [s m-1],udr,,,
107,DDR,Downdraught detrainment rate [s m-1],ddr,,,
108,TPF,Total precipitation flux [kg m-2],tpf,,,
109,TDCFH,Turbulent diffusion coefficient for heat [m2],tdcfh,,,
110,TT,Tendency of temperature [K],tt,,,
111,TQ,Tendency of specific humidity [1],tq,,,
112,TUC,Tendency of u component [m s-1],tuc,,,
113,TVC,Tendency of v component [m s-1],tvc,,,
114,UTENDD,U-tendency from dynamics [m s-1],utendd,,,
115,VTENDD,V-tendency from dynamics [m s-1],vtendd,,,
116,TTENDD,T-tendency from dynamics [K],ttendd,,,
117,QTENDD,q-tendency from dynamics [1],qtendd,,,
118,TTENDR,T-tendency from radiation [K],ttendr,,,
119,UTENDTS,U-tendency from turbulent diffusion + subgrid orography [m s-1],utendts,,,
120,VTENDTS,V-tendency from turbulent diffusion + subgrid orography [m s-1],vtendts,,,
